자치구,온도평균
Jungnang-gu,29.1
Jungnang-gu,29.6
Jung-gu,
Jungnang-gu,29.3
Jungnang-gu,27.3
Jungnang-gu,28.9
Jungnang-gu,28.9
Jung-gu,28.8
Jungnang-gu,27.4
Jung-gu,29.2
Jungnang-gu,25.4
Jungnang-gu,25.5
Jungnang-gu,27.8
Jungnang-gu,28
Jung-gu,28.8
Jungnang-gu,29.4
Jungnang-gu,27.3
Jungnang-gu,26.5
Jungnang-gu,27
Jungnang-gu,28.7
Jung-gu,28.7
Jung-gu,
Jung-gu,28.8
Jung-gu,29.7
Jung-gu,28.9
Jung-gu,29.1
Jung-gu,32.6
Jung-gu,29
Jung-gu,30.3
Jung-gu,29.3
Jung-gu,28.3
Jung-gu,29.4
Jung-gu,
Jung-gu,29
Jung-gu,32.4
Jung-gu,27.1
Jung-gu,29.4
Jung-gu,30
Jung-gu,29.1
Jung-gu,27.9
Jung-gu,28.7
Jung-gu,
Jung-gu,28.3
Jung-gu,28.8
Jung-gu,-40
Yangcheon-gu,26
Jung-gu,-40
Yangcheon-gu,29.1
Jung-gu,-40
Jung-gu,
Songpa-gu,-40
Jung-gu,-40
Jung-gu,-39
Jung-gu,-40
Jung-gu,28.4
Jung-gu,27.6
Yangcheon-gu,28.9
Yangcheon-gu,-40
Jung-gu,25.7
Yangcheon-gu,28.6
Yeongdeungpo-gu,29.1
Jung-gu,30.3
Yangcheon-gu,28.6
Yangcheon-gu,27.5
Yeongdeungpo-gu,29.7
Yangcheon-gu,-40
Yeongdeungpo-gu,29.5
Yeongdeungpo-gu,29.8
Yeongdeungpo-gu,30.5
Yeongdeungpo-gu,29.1
Yeongdeungpo-gu,29.6
Yeongdeungpo-gu,29.1
Yeongdeungpo-gu,28.9
Yeongdeungpo-gu,28.7
Yeongdeungpo-gu,29.1
Yeongdeungpo-gu,30
Yeongdeungpo-gu,29.7
Yeongdeungpo-gu,29.7
Yeongdeungpo-gu,29.7
Yeongdeungpo-gu,29.6
Yeongdeungpo-gu,28.9
Dongjak-gu,28.1
Dongjak-gu,-40
